
c9cb3c8, "p-marco", 2018-07-19, "introduction-structure                                                         ",    12 , 192 , 131  
a470ab4, "p-marco", 2018-07-18, "commit-intro                                                                   ",    11 , 46 , 25  
fb287cf, "p-marco", 2018-07-16, "update-16.07                                                                   ",    14 , 140 , 32  
7a698c1, "p-marco", 2018-07-15, "update-15.07.2018                                                              ",    12 , 144 , 109  
bfba04f, "p-marco", 2018-07-13, "update-2018.07.03                                                              ",    17 , 359 , 88  
b390714, "p-marco", 2018-06-19, "update-19.6.18                                                                 ",    15 , 794 , 35  
f54a927, "p-marco", 2018-06-04, "update-4.6.18                                                                  ",    12 , 94 , 73  
e488293, "p-marco", 2018-06-02, "update-2.6.18                                                                  ",    20 , 900 , 245  
2555a65, "p-marco", 2018-05-29, "update-29.5bis                                                                 ",    24 , 448 , 1111  
b3f85a9, "p-marco", 2018-05-29, "update-29.5                                                                    ",    32 , 1390 , 101  
e87982c, "p-marco", 2018-05-27, "update-27.5.2018                                                               ",    21 , 931 , 348  
1218f4e, "p-marco", 2018-05-25, "update-25.5                                                                    ",    18 , 663 , 860  
f9b8903, "p-marco", 2018-04-24, "fixed-titlepage                                                                ",    12 , 108 , 34  
aad13e7, "p-marco", 2018-04-24, "hypothesis-added-docx                                                          ",    21 , 608 , 462  
eb6c4b3, "p-marco", 2018-04-22, "start-with-bookdown.-pdf-epub-html-out-OK                                      ",    42 , 4352 , 
351bc1c, "p-marco", 2018-04-22, "clean-repo                                                                     ",    11 ,, 662 
e049980, "p-marco", 2018-04-22, "Update-prova.md                                                                ",    1 , 2 , 2  
91bdabc, "p-marco", 2018-04-17, "toc-styling                                                                    ",    1 , 41 , 6  
9a8db49, "p-marco", 2018-04-17, "toc-styling                                                                    ",    1 , 4 , 1  
ddd0ef6, "p-marco", 2018-04-17, "toc-styling                                                                    ",    1 , 4 , 4  
4579d56, "p-marco", 2018-04-17, "toc-styling                                                                    ",    1 ,, 12 
65000bd, "p-marco", 2018-04-17, "toc-styling                                                                    ",    1 , 21 , 
a05de97, "p-marco", 2018-04-17, "toc-styling                                                                    ",    3 , 21 , 2  
418be71, "p-marco", 2018-04-17, "style-TOC                                                                      ",    1 , 11 , 2  
539a5d8, "p-marco", 2018-04-17, "style-TOC                                                                      ",    1 , 6 , 5  
30280e9, "p-marco", 2018-04-17, "style-TOC                                                                      ",    1 , 2 , 2  
dd07d3c, "p-marco", 2018-04-17, "style-TOC                                                                      ",    1 , 10 , 1  
fff94af, "p-marco", 2018-04-17, "style-TOC                                                                      ",    2 , 7 , 1  
424305a, "p-marco", 2018-04-17, "prova-DATE                                                                     ",    1 , 1 , 1  
a74f71c, "p-marco", 2018-04-17, "prova-DATE                                                                     ",    2 , 2 , 2  
282fd24, "p-marco", 2018-04-17, "prova-DATE                                                                     ",    3 , 7 , 1  
4dc730f, "p-marco", 2018-04-17, "prova-TOC                                                                      ",    6 , 40 , 26  
c73736e, "p-marco", 2018-04-17, "prova-TOC                                                                      ",    3 , 4 , 9  
8e2a204, "p-marco", 2018-04-17, "prova-TOC                                                                      ",    1 , 1 , 1  
a6c9548, "p-marco", 2018-04-17, "prova-TOC                                                                      ",    1 , 1 , 
3132e65, "p-marco", 2018-04-17, "prova-TOC                                                                      ",    3 , 118 , 1  
c33ab71, "p-marco", 2018-04-16, "message                                                                        ",    1 , 1 , 1  
4986923, "p-marco", 2018-04-16, "message                                                                        ",    1 , 1 , 1  
eb9831f, "p-marco", 2018-04-16, "message                                                                        ",    1 , 4 , 1  
7be8074, "p-marco", 2018-04-16, "message                                                                        ",    2 , 6 , 1  
5ff738d, "p-marco", 2018-04-16, "message                                                                        ",    2 , 2 , 2  
3cf0ad6, "p-marco", 2018-04-16, "message                                                                        ",    2 , 8 , 2  
0bdb0f3, "p-marco", 2018-04-16, "message                                                                        ",    1 , 4 , 1  
399314a, "p-marco", 2018-04-16, "navbar                                                                         ",    1 , 2 , 2  
b375c6d, "p-marco", 2018-04-16, "navbar                                                                         ",    1 , 2 , 2  
44e4ae5, "p-marco", 2018-04-16, "navbar                                                                         ",    1 , 1 , 1  
c820e5b, "p-marco", 2018-04-16, "navbar                                                                         ",    1 , 1 , 
a3edb09, "p-marco", 2018-04-16, "navbar                                                                         ",    1 , 1 , 
140b10e, "p-marco", 2018-04-16, "navbar                                                                         ",    2 , 10 , 15  
f809ea2, "p-marco", 2018-04-16, "initial-structure2                                                             ",    1 , 2 , 
fb085de, "p-marco", 2018-04-16, "initial-structure2                                                             ",    1 , 1 , 
39e8547, "p-marco", 2018-04-16, "initial-structure2                                                             ",    1 , 1 , 2  
73a6fff, "p-marco", 2018-04-16, "initial-structure2                                                             ",    1 , 2 , 1  
c2341e8, "p-marco", 2018-04-16, "initial-structure2                                                             ",    1 , 1 , 1  
8702413, "p-marco", 2018-04-16, "initial-structure2                                                             ",    1 , 1 , 1  
1dfde6c, "p-marco", 2018-04-16, "initial-structure2                                                             ",    1 , 6 , 1  
b5cc0da, "p-marco", 2018-04-16, "initial-structure2                                                             ",    1 , 1 , 1  
765fbf4, "p-marco", 2018-04-16, "initial-structure2                                                             ",    3 , 3 , 2  
2a8ebb1, "p-marco", 2018-04-16, "initial-structure2                                                             ",    1 ,, 1 
696a2ec, "p-marco", 2018-04-16, "initial-structure                                                              ",    3 , 25 , 21  
5bcb21b, "p-marco", 2018-04-16, "fix                                                                            ",    2 , 17 , 37  
0e9949f, "p-marco", 2018-04-16, "fix                                                                            ",    1 , 2 , 2  
8ef9e2a, "p-marco", 2018-04-16, "initial-commit                                                                 ",    7 , 395 , 1  
6557f68, "p-marco", 2018-04-16, "Update-README.md                                                               ", ,,
44061d6, "p-marco", 2018-04-16, "Set-theme-jekyll-theme-minimal                                                 ",    2 , 38 , 1  
0f6c86d, "p-marco", 2018-04-16, "Initial-commit                                                                 ",    1 , 1 , 
